Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,0.980940,0.983050,0.980250,0.981030,0.981030,0
2021-06-25,0.982000,0.982100,0.979450,0.981940,0.981940,0
2021-06-28,0.980690,0.984550,0.979750,0.980940,0.980940,0
2021-06-29,0.983950,0.989610,0.983820,0.983930,0.983930,0
2021-06-30,0.989250,0.992440,0.988210,0.989340,0.989340,0
2021-07-01,0.991890,0.993610,0.989960,0.991380,0.991380,0
2021-07-02,0.992400,0.993370,0.988814,0.992440,0.992440,0
2021-07-05,0.987190,0.988650,0.986220,0.986838,0.986838,0
2021-07-06,0.985960,0.990470,0.980130,0.985860,0.985860,0
2021-07-07,0.990710,0.992340,0.986210,0.990530,0.990530,0
2021-07-08,0.990490,0.996170,0.990260,0.990380,0.990380,0
2021-07-09,0.994600,0.996300,0.988220,0.994700,0.994700,0
2021-07-12,0.988300,0.992380,0.987460,0.988240,0.988240,0
2021-07-13,0.988900,0.992940,0.986904,0.989130,0.989130,0
2021-07-14,0.991239,0.991440,0.987394,0.991070,0.991070,0
2021-07-15,0.987390,0.993220,0.987320,0.987480,0.987480,0
2021-07-16,0.994290,0.995850,0.992137,0.994420,0.994420,0
2021-07-19,0.997520,1.001180,0.996350,0.997490,0.997490,0
2021-07-20,0.998990,1.001060,0.997280,0.998775,0.998775,0
2021-07-21,0.997310,1.002648,0.996210,0.997210,0.997210,0
2021-07-22,0.996980,0.999070,0.995280,0.997000,0.997000,0
2021-07-23,0.996400,0.998750,0.995850,0.996610,0.996610,0
2021-07-26,0.997570,1.001900,0.996420,0.997380,0.997380,0
2021-07-27,0.997350,1.001090,0.996160,0.997180,0.997180,0
2021-07-28,0.998270,1.003010,0.997075,0.998430,0.998430,0
2021-07-29,0.998980,1.001570,0.996700,0.999060,0.999060,0
2021-07-30,0.999260,1.005270,0.998960,0.999170,0.999170,0
2021-08-02,1.005290,1.006890,1.002180,1.005320,1.005320,0
2021-08-03,1.003800,1.004280,0.999010,1.004010,1.004010,0
2021-08-04,1.000650,1.003470,0.998610,1.000600,1.000600,0
2021-08-05,1.002170,1.002650,0.998580,1.002170,1.002170,0
2021-08-06,0.999670,1.004130,0.999500,0.999680,0.999680,0
2021-08-09,1.005080,1.005800,1.001790,1.004860,1.004860,0
2021-08-10,1.005070,1.006580,1.000630,1.005030,1.005030,0
2021-08-11,1.001300,1.003660,0.998390,1.001310,1.001310,0
2021-08-12,0.999610,1.003466,0.999473,0.999740,0.999740,0
2021-08-13,1.003210,1.003670,0.999910,1.003120,1.003120,0
2021-08-16,1.001770,1.007265,1.001760,1.001880,1.001880,0
2021-08-17,1.004960,1.012010,1.004850,1.004980,1.004980,0
2021-08-18,1.011870,1.016120,1.010990,1.011820,1.011820,0
2021-08-19,1.015500,1.025200,1.015400,1.015700,1.015700,0
2021-08-20,1.025000,1.031290,1.024220,1.025160,1.025160,0
