"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2021","79,834.89","78,010.04","83,184.47","76,974.98","0.14K","2.34%"
"Nov 22, 2021","78,010.04","81,473.71","81,945.00","77,145.60","0.16K","-4.25%"
"Nov 21, 2021","81,473.71","83,126.42","83,749.16","81,269.97","0.05K","-1.99%"
"Nov 20, 2021","83,126.42","80,674.61","85,000.00","79,829.92","0.05K","3.04%"
"Nov 19, 2021","80,674.61","78,395.01","81,120.30","76,738.90","0.10K","2.86%"
"Nov 18, 2021","78,430.00","83,299.99","83,994.99","77,900.00","0.17K","-5.85%"
"Nov 17, 2021","83,299.99","82,500.00","83,863.23","80,584.25","0.16K","0.97%"
"Nov 16, 2021","82,500.00","86,789.98","86,789.98","80,000.00","0.23K","-4.94%"
"Nov 15, 2021","86,789.98","89,398.94","90,599.88","86,550.00","0.08K","-2.92%"
"Nov 14, 2021","89,398.94","88,141.53","89,516.13","87,134.97","0.03K","1.43%"
"Nov 13, 2021","88,141.53","87,874.99","88,800.00","86,569.46","0.05K","0.30%"
"Nov 12, 2021","87,874.99","89,054.33","90,040.93","85,380.90","0.10K","-1.32%"
"Nov 11, 2021","89,054.33","88,675.00","90,144.99","87,697.36","0.20K","0.43%"
"Nov 10, 2021","88,675.00","90,721.07","93,450.00","86,029.99","0.22K","-2.26%"
"Nov 09, 2021","90,721.07","91,105.00","92,874.63","89,425.78","0.14K","-0.42%"
"Nov 08, 2021","91,105.00","85,609.45","91,209.21","82,676.45","0.18K","6.42%"
"Nov 07, 2021","85,609.45","83,529.09","85,609.46","83,147.54","0.04K","2.49%"
"Nov 06, 2021","83,529.09","82,717.70","83,719.76","81,434.80","0.03K","0.98%"
"Nov 05, 2021","82,717.70","83,041.44","84,892.05","82,265.19","0.25K","-0.39%"
"Nov 04, 2021","83,041.44","84,451.53","84,705.63","82,200.00","0.06K","-1.67%"
"Nov 03, 2021","84,451.53","85,054.81","85,775.96","81,644.95","0.12K","-0.71%"
"Nov 02, 2021","85,054.81","81,209.32","86,460.00","80,800.00","0.08K","4.74%"
"Nov 01, 2021","81,209.32","81,854.99","83,424.61","79,596.35","0.11K","-0.79%"
"Oct 31, 2021","81,854.99","82,600.00","83,275.19","80,166.57","0.04K","-0.90%"
"Oct 30, 2021","82,600.00","82,970.01","83,050.00","81,060.00","0.04K","-0.45%"
"Oct 29, 2021","82,970.01","80,546.93","84,083.49","80,050.20","0.08K","3.01%"
"Oct 28, 2021","80,546.93","78,235.30","82,990.00","77,215.00","0.14K","2.95%"
"Oct 27, 2021","78,235.30","80,438.63","81,815.00","77,650.00","0.17K","-2.74%"
"Oct 26, 2021","80,438.63","84,242.28","84,571.75","80,000.00","0.09K","-4.52%"
"Oct 25, 2021","84,242.28","81,655.00","85,000.00","81,322.47","0.04K","3.17%"
"Oct 24, 2021","81,655.00","82,270.51","82,589.59","79,772.81","0.06K","-0.75%"
"Oct 23, 2021","82,270.51","81,385.01","82,898.18","80,100.00","0.05K","1.09%"
"Oct 22, 2021","81,385.01","83,625.69","85,298.00","80,682.16","0.09K","-2.68%"
"Oct 21, 2021","83,625.69","87,845.00","89,160.53","83,124.98","0.12K","-4.80%"
"Oct 20, 2021","87,845.00","85,949.99","89,000.00","84,786.93","0.14K","2.20%"
"Oct 19, 2021","85,949.99","83,750.00","86,311.55","82,290.00","0.10K","2.63%"
"Oct 18, 2021","83,750.00","82,830.69","84,605.00","81,399.99","0.15K","0.96%"
"Oct 17, 2021","82,954.72","82,146.40","83,071.09","79,676.90","0.06K","0.98%"
"Oct 16, 2021","82,146.40","83,085.89","84,221.23","81,285.00","0.07K","-1.13%"
"Oct 15, 2021","83,085.89","77,389.78","84,339.66","76,705.30","0.16K","7.36%"
"Oct 14, 2021","77,389.78","77,815.01","79,329.99","76,694.49","0.09K","-0.55%"
"Oct 13, 2021","77,815.01","76,480.00","78,395.00","73,960.00","0.07K","1.75%"
"Oct 12, 2021","76,480.00","78,202.49","78,564.99","73,603.73","0.07K","-2.20%"
"Oct 11, 2021","78,202.49","75,150.00","78,584.12","74,580.00","0.11K","4.06%"
"Oct 10, 2021","75,150.00","75,694.99","77,478.35","74,400.00","0.09K","-0.72%"
"Oct 09, 2021","75,694.99","73,986.07","76,000.00","73,712.00","0.05K","2.31%"
"Oct 08, 2021","73,986.07","73,510.01","76,918.00","73,473.10","0.07K","0.65%"
"Oct 07, 2021","73,510.01","75,952.06","75,952.06","73,125.01","0.11K","-3.22%"
"Oct 06, 2021","75,952.06","70,823.00","76,272.40","69,760.00","0.23K","7.24%"
"Oct 05, 2021","70,823.00","67,553.23","71,181.06","67,362.41","0.08K","4.84%"
"Oct 04, 2021","67,553.23","66,389.99","67,999.05","64,640.00","0.06K","1.75%"
"Oct 03, 2021","66,389.99","65,834.81","67,858.00","64,950.00","0.07K","0.84%"
"Oct 02, 2021","65,834.81","66,257.70","66,598.89","65,417.71","0.04K","-0.64%"
"Oct 01, 2021","66,257.70","60,484.72","66,668.37","60,000.00","0.16K","9.54%"
"Sep 30, 2021","60,484.72","57,940.00","60,910.99","57,794.00","0.11K","4.39%"
"Sep 29, 2021","57,940.00","56,743.91","58,884.29","56,450.00","0.07K","2.11%"
"Sep 28, 2021","56,743.91","58,134.61","58,834.53","56,650.00","0.06K","-2.39%"
"Sep 27, 2021","58,134.61","59,485.00","60,904.99","58,000.00","0.06K","-2.27%"
"Sep 26, 2021","59,485.00","59,134.25","60,500.02","56,533.00","0.09K","0.59%"
"Sep 25, 2021","59,134.25","59,154.22","59,432.12","57,604.06","0.04K","-0.03%"
"Sep 24, 2021","59,154.22","61,614.95","62,129.97","56,394.48","0.11K","-3.99%"
"Sep 23, 2021","61,614.95","60,322.01","61,642.33","59,675.00","0.08K","2.14%"
"Sep 22, 2021","60,322.01","56,411.71","60,500.00","56,008.00","0.10K","6.93%"
"Sep 21, 2021","56,411.71","59,149.99","60,049.81","54,917.11","0.21K","-4.63%"
"Sep 20, 2021","59,149.99","65,223.87","65,408.41","58,761.30","0.14K","-9.31%"
"Sep 19, 2021","65,223.87","66,530.23","66,611.84","64,800.00","0.04K","-1.96%"
"Sep 18, 2021","66,530.23","65,260.01","67,199.95","65,094.76","0.05K","1.95%"
"Sep 17, 2021","65,260.01","65,789.91","66,190.00","64,587.42","0.03K","-0.81%"
"Sep 16, 2021","65,789.91","65,690.19","66,741.30","64,669.87","0.07K","0.15%"
"Sep 15, 2021","65,690.19","64,530.12","66,259.99","64,145.03","0.05K","1.80%"
"Sep 14, 2021","64,530.12","61,285.70","64,654.99","60,964.98","0.04K","5.29%"
"Sep 13, 2021","61,285.70","62,677.19","63,611.92","59,220.00","0.08K","-2.22%"
"Sep 12, 2021","62,677.19","61,549.28","63,243.68","61,110.02","0.07K","1.83%"
"Sep 11, 2021","61,549.28","61,214.03","62,759.95","61,123.87","0.05K","0.55%"
"Sep 10, 2021","61,214.03","63,055.67","64,336.22","60,251.07","0.10K","-2.92%"
"Sep 09, 2021","63,055.67","62,773.37","64,330.33","62,100.00","0.09K","0.45%"
"Sep 08, 2021","62,773.37","62,760.00","63,943.41","62,640.00","0.10K","-1.03%"
"Sep 07, 2021","63,425.39","70,844.23","71,124.28","59,000.00","0.20K","-10.47%"
"Sep 06, 2021","70,844.23","69,630.67","70,932.26","68,825.00","0.07K","1.74%"
"Sep 05, 2021","69,630.67","67,282.36","70,000.00","66,735.08","0.12K","3.49%"
"Sep 04, 2021","67,282.36","67,175.01","67,988.22","66,550.00","0.04K","0.16%"
"Sep 03, 2021","67,175.01","66,820.00","68,454.99","65,574.72","0.14K","0.53%"
"Sep 02, 2021","66,820.00","66,374.87","68,229.91","66,131.92","0.06K","0.67%"
"Sep 01, 2021","66,374.87","64,555.00","66,633.26","63,766.03","0.08K","2.82%"
"Aug 31, 2021","64,555.00","64,642.68","65,923.42","64,100.00","0.06K","-0.14%"
"Aug 30, 2021","64,642.68","66,919.99","67,014.95","64,480.40","0.06K","-3.40%"
"Aug 29, 2021","66,919.99","67,128.02","68,074.78","65,619.97","0.07K","-0.31%"
"Aug 28, 2021","67,128.02","67,299.79","67,653.00","66,374.96","0.03K","-0.26%"
"Aug 27, 2021","67,299.79","64,989.85","67,415.55","64,409.95","0.15K","3.55%"
"Aug 26, 2021","64,989.85","67,335.53","68,050.47","63,901.00","0.12K","-3.48%"
"Aug 25, 2021","67,335.53","66,040.00","67,795.51","65,090.01","0.07K","1.96%"
"Aug 24, 2021","66,040.00","68,854.81","69,345.63","65,873.37","0.13K","-4.09%"
"Aug 23, 2021","68,854.81","69,250.82","70,588.32","68,190.01","0.11K","-0.57%"
"Aug 22, 2021","69,250.82","68,860.61","69,659.81","67,620.00","0.06K","0.57%"
"Aug 21, 2021","68,860.61","69,060.00","69,871.00","67,909.94","0.06K","-0.29%"
"Aug 20, 2021","69,060.00","65,355.00","69,085.85","65,323.92","0.19K","5.69%"
"Aug 19, 2021","65,344.93","62,049.96","65,790.00","61,167.38","0.08K","5.31%"
"Aug 18, 2021","62,049.96","61,564.99","63,452.53","61,057.87","0.08K","0.79%"
"Aug 17, 2021","61,564.99","62,565.00","64,549.73","61,368.67","0.09K","-1.60%"
"Aug 16, 2021","62,565.00","63,955.06","65,347.08","62,425.27","0.12K","-2.17%"
