"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 18, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 17, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 16, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 15, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 14, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 13, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 12, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 11, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 10, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 09, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 08, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 07, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 06, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 05, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 04, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 03, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 02, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 01, 2021","78,002.2","80,685.5","80,685.5","78,002.2","-","-3.33%"
"Nov 30, 2021","80,685.5","77,558.0","81,036.5","77,558.0","-","4.03%"
"Nov 29, 2021","77,558.0","75,900.0","80,482.0","75,900.0","-","2.18%"
"Nov 28, 2021","75,900.0","74,601.9","75,900.0","74,601.0","-","1.74%"
"Nov 27, 2021","74,601.9","75,000.0","76,997.5","74,400.4","-","-0.53%"
"Nov 26, 2021","75,000.0","81,279.9","81,279.9","74,000.0","0.00K","-7.73%"
"Nov 25, 2021","81,279.9","78,500.0","81,279.9","76,618.0","0.00K","3.54%"
"Nov 24, 2021","78,500.0","80,897.5","80,897.5","76,500.4","-","-2.96%"
"Nov 23, 2021","80,897.5","76,258.1","80,897.5","76,258.1","-","6.08%"
"Nov 22, 2021","76,258.1","81,349.0","81,349.0","76,250.4","0.00K","-6.26%"
"Nov 21, 2021","81,349.0","79,188.4","81,800.0","79,188.4","0.00K","2.73%"
"Nov 20, 2021","79,188.4","79,900.0","81,800.0","78,101.0","-","-0.89%"
"Nov 19, 2021","79,900.0","77,000.4","80,488.0","76,000.0","0.00K","3.77%"
"Nov 18, 2021","77,000.4","82,800.0","83,097.5","76,051.4","0.00K","-7.00%"
"Nov 17, 2021","82,800.0","81,120.1","82,997.5","79,000.4","0.00K","2.07%"
"Nov 16, 2021","81,120.1","87,396.5","87,396.5","79,595.4","0.00K","-7.18%"
"Nov 15, 2021","87,396.5","87,700.0","89,720.0","86,108.0","-","-0.35%"
"Nov 14, 2021","87,700.0","88,000.0","88,088.0","85,761.0","-","-0.34%"
"Nov 13, 2021","88,000.0","86,210.0","88,000.0","85,198.0","-","2.08%"
"Nov 12, 2021","86,210.0","88,797.5","89,200.0","85,060.0","-","-2.91%"
"Nov 11, 2021","88,797.5","88,997.5","89,340.0","87,010.0","-","-0.22%"
"Nov 10, 2021","88,997.5","91,000.0","93,340.0","88,500.0","0.00K","-2.20%"
"Nov 09, 2021","91,000.0","89,700.0","92,000.0","88,740.4","0.00K","1.45%"
"Nov 08, 2021","89,700.0","85,000.0","89,700.0","82,518.0","0.00K","5.53%"
"Nov 07, 2021","85,000.0","83,497.4","85,000.0","82,401.2","-","1.80%"
"Nov 06, 2021","83,497.4","83,878.0","83,887.0","81,613.1","-","-0.45%"
"Nov 05, 2021","83,878.0","82,001.2","84,570.0","82,000.2","-","2.29%"
"Nov 04, 2021","82,001.2","85,599.0","85,599.0","82,000.0","-","-4.20%"
"Nov 03, 2021","85,599.0","84,100.2","86,247.5","83,030.6","-","1.78%"
"Nov 02, 2021","84,100.2","81,614.5","86,445.0","81,613.1","-","3.05%"
"Nov 01, 2021","81,614.5","82,897.4","84,000.0","81,613.1","-","-1.55%"
"Oct 31, 2021","82,897.4","83,499.0","84,797.5","81,613.0","-","-0.72%"
"Oct 30, 2021","83,499.0","84,999.0","84,999.0","82,018.4","-","-1.76%"
"Oct 29, 2021","84,999.0","81,410.1","84,999.0","81,408.9","-","4.41%"
"Oct 28, 2021","81,410.1","79,000.0","82,844.5","78,000.7","0.00K","3.05%"
"Oct 27, 2021","79,000.0","82,497.5","82,497.5","78,400.2","0.00K","-4.24%"
"Oct 26, 2021","82,497.5","86,447.5","86,449.0","81,500.0","-","-4.57%"
"Oct 25, 2021","86,447.5","82,597.4","86,447.5","82,597.4","-","4.66%"
"Oct 24, 2021","82,597.4","83,901.0","84,544.5","81,009.1","-","-1.55%"
"Oct 23, 2021","83,901.0","82,010.1","84,550.0","81,701.2","0.00K","2.31%"
"Oct 22, 2021","82,010.1","85,787.0","86,000.0","81,508.1","0.00K","-4.40%"
